date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:52	29237/29237	---MCZ	200	added ('OK')	text/html	etag:W/%227235-567e7a55a78d5%22	http://fvdthemes.com/html/dentalclinic/blog2.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog2.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:53	26623/26623	---MCZ	200	added ('OK')	text/html	etag:W/%2267ff-567e7a56cd55a%22	http://fvdthemes.com/html/dentalclinic/blog3.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog3.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:53	24324/24324	---MCZ	200	added ('OK')	text/html	etag:W/%225f04-567e7a57f72fa%22	http://fvdthemes.com/html/dentalclinic/blog4.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog4.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:53	36296/36296	---MCZ	200	added ('OK')	text/html	etag:W/%228dc8-567e7a51ba81a%22	http://fvdthemes.com/html/dentalclinic/blog_item.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog_item.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:54	33544/33544	---MCZ	200	added ('OK')	text/html	etag:W/%228308-567e7a52ff36a%22	http://fvdthemes.com/html/dentalclinic/blog_item2.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog_item2.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:54	21452/21452	---MCZ	200	added ('OK')	text/html	etag:W/%2253cc-567e7a5d219d5%22	http://fvdthemes.com/html/dentalclinic/gallery1.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/gallery1.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:55	20587/20587	---MCZ	200	added ('OK')	text/html	etag:W/%22506b-567e7a5e5d5ea%22	http://fvdthemes.com/html/dentalclinic/gallery2.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/gallery2.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:55	36736/36736	---MCZ	200	added ('OK')	text/html	etag:W/%228f80-567e7a6316adf%22	http://fvdthemes.com/html/dentalclinic/prices.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/prices.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:55	60145/60145	---MCZ	200	added ('OK')	text/html	etag:W/%22eaf1-567e7a6601bff%22	http://fvdthemes.com/html/dentalclinic/timetable.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/timetable.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:56	18132/18132	---MCZ	200	added ('OK')	text/html	etag:W/%2246d4-567e7a619c42f%22	http://fvdthemes.com/html/dentalclinic/payment.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/payment.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:56	27311/27311	---MCZ	200	added ('OK')	text/html	etag:W/%226aaf-567e7a4f156c5%22	http://fvdthemes.com/html/dentalclinic/404.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/404.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:56	20909/20909	---MCZ	200	added ('OK')	text/html	etag:W/%2251ad-567e7a591263a%22	http://fvdthemes.com/html/dentalclinic/contacts.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/contacts.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:57	43/43	---M--	200	added ('OK')	image/gif	etag:%225ab211b2-2b%22	http://fvdthemes.com/html/dentalclinic/css/images/blank.gif	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/css/images/blank.gif	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:18	114260/114260	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-1be54%22	http://fvdthemes.com/html/dentalclinic/images/cert1-b.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert1-b.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:20	12559/12559	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-310f%22	http://fvdthemes.com/html/dentalclinic/images/cert1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:22	176334/176334	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2b0ce%22	http://fvdthemes.com/html/dentalclinic/images/slide_01.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/slide_01.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:25	11959/11959	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2eb7%22	http://fvdthemes.com/html/dentalclinic/images/cert2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:37	72837/72837	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-11c85%22	http://fvdthemes.com/html/dentalclinic/images/cert3-b.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert3-b.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:39	10395/10395	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-289b%22	http://fvdthemes.com/html/dentalclinic/images/cert3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:40	274087/274087	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-42ea7%22	http://fvdthemes.com/html/dentalclinic/images/slide_02.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/slide_02.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:42	278629/278629	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-44065%22	http://fvdthemes.com/html/dentalclinic/images/slide_03.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/slide_03.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:43	10621/10621	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-297d%22	http://fvdthemes.com/html/dentalclinic/images/cert4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:43	144638/144638	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-234fe%22	http://fvdthemes.com/html/dentalclinic/images/cert2-b.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert2-b.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:45	8224/8224	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2020%22	http://fvdthemes.com/html/dentalclinic/images/cert5.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert5.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:51	46388/46388	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-b534%22	http://fvdthemes.com/html/dentalclinic/images/doctor1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/doctor1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:51	80461/80461	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-13a4d%22	http://fvdthemes.com/html/dentalclinic/images/cert4-b.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert4-b.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:43:52	44540/44540	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-adfc%22	http://fvdthemes.com/html/dentalclinic/images/doctor2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/doctor2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:00	47925/47925	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-bb35%22	http://fvdthemes.com/html/dentalclinic/images/doctor5.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/doctor5.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:00	56148/56148	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-db54%22	http://fvdthemes.com/html/dentalclinic/images/doctor3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/doctor3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:01	452/452	---M--	200	added ('OK')	image/png	etag:%225809884d-1c4%22	http://fvdthemes.com/html/dentalclinic/images/quote.png	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/quote.png	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:01	122649/122649	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-1df19%22	http://fvdthemes.com/html/dentalclinic/images/cert5-b.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/cert5-b.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:01	59382/59382	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-e7f6%22	http://fvdthemes.com/html/dentalclinic/images/doctor4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/doctor4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:02	17946/17946	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-461a%22	http://fvdthemes.com/html/dentalclinic/images/stories1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/stories1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:04	8146/8146	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-1fd2%22	http://fvdthemes.com/html/dentalclinic/images/review1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/review1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:06	8196/8196	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2004%22	http://fvdthemes.com/html/dentalclinic/images/review2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/review2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:06	34068/34068	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-8514%22	http://fvdthemes.com/html/dentalclinic/images/stories2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/stories2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:07	36245/36245	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-8d95%22	http://fvdthemes.com/html/dentalclinic/images/stories3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/stories3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:07	8387/8387	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-20c3%22	http://fvdthemes.com/html/dentalclinic/images/review3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/review3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:08	8820/8820	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2274%22	http://fvdthemes.com/html/dentalclinic/images/review4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/review4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:10	16022/16022	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-3e96%22	http://fvdthemes.com/html/dentalclinic/images/blog2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:11	25151/25151	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-623f%22	http://fvdthemes.com/html/dentalclinic/images/blog1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:11	19579/19579	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-4c7b%22	http://fvdthemes.com/html/dentalclinic/images/blog3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:12	67783/67783	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-108c7%22	http://fvdthemes.com/html/dentalclinic/images/stories4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/stories4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:12	11054/11054	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2b2e%22	http://fvdthemes.com/html/dentalclinic/images/blog_author1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:12	10097/10097	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2771%22	http://fvdthemes.com/html/dentalclinic/images/blog_author2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:13	11064/11064	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2b38%22	http://fvdthemes.com/html/dentalclinic/images/blog_author3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:13	11156/11156	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-2b94%22	http://fvdthemes.com/html/dentalclinic/images/blog_author4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:14	9928/9928	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-26c8%22	http://fvdthemes.com/html/dentalclinic/images/blog_author5.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author5.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:14	2612/2612	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-a34%22	http://fvdthemes.com/html/dentalclinic/images/clients1.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clients1.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:14	10060/10060	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-274c%22	http://fvdthemes.com/html/dentalclinic/images/blog_author6.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/blog_author6.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:14	3086/3086	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-c0e%22	http://fvdthemes.com/html/dentalclinic/images/clients2.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clients2.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:14	2556/2556	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-9fc%22	http://fvdthemes.com/html/dentalclinic/images/clients3.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clients3.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:15	2998/2998	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-bb6%22	http://fvdthemes.com/html/dentalclinic/images/clients4.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clients4.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:15	2192/2192	---M--	200	added ('OK')	image/jpeg	etag:%225809884d-890%22	http://fvdthemes.com/html/dentalclinic/images/clients5.jpg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clients5.jpg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:15	440/440	---M--	200	added ('OK')	image/png	etag:%225809884d-1b8%22	http://fvdthemes.com/html/dentalclinic/images/clock.png	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/clock.png	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:16	11290/11290	---MCZ	200	added ('OK')	text/css	etag:W/%225ab211d1-2c1a%22	http://fvdthemes.com/html/dentalclinic/css/responsive.css	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/css/responsive.css	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:17	85589/85589	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab21204-14e55%22	http://fvdthemes.com/html/dentalclinic/js/jquery-2.2.0.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery-2.2.0.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:18	35951/35951	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211e0-8c6f%22	http://fvdthemes.com/html/dentalclinic/js/bootstrap.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/bootstrap.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:18	93724/93724	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211f9-16e1c%22	http://fvdthemes.com/html/dentalclinic/js/jquery.sliderPro.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.sliderPro.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:19	23135/23135	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211e8-5a5f%22	http://fvdthemes.com/html/dentalclinic/js/jquery.fancybox.pack.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.fancybox.pack.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:19	52797/52797	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab21208-ce3d%22	http://fvdthemes.com/html/dentalclinic/js/owl.carousel.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/owl.carousel.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:19	5287/5287	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211e5-14a7%22	http://fvdthemes.com/html/dentalclinic/js/jquery.barrating.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.barrating.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:20	39978/39978	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211e4-9c2a%22	http://fvdthemes.com/html/dentalclinic/js/isotope.pkgd.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/isotope.pkgd.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:20	6382/6382	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab2120b-18ee%22	http://fvdthemes.com/html/dentalclinic/js/scrollspy.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/scrollspy.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:21	139009/139009	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab21207-21f01%22	http://fvdthemes.com/html/dentalclinic/js/moment.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/moment.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:21	37955/37955	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211e2-9443%22	http://fvdthemes.com/html/dentalclinic/js/bootstrap-datetimepicker.min.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/bootstrap-datetimepicker.min.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:22	70256/70256	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211ea-11270%22	http://fvdthemes.com/html/dentalclinic/js/jquery.form-validator.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.form-validator.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:22	41785/41785	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211f2-a339%22	http://fvdthemes.com/html/dentalclinic/js/jquery.selectBox.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.selectBox.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:22	11701/11701	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ab211ec-2db5%22	http://fvdthemes.com/html/dentalclinic/js/jquery.matchHeight.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.matchHeight.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:44:23	310/310	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2011:14:22%20GMT	http://fvdthemes.com/html/dentalclinic/js/jquery.form.js	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/js/jquery.form.js	(from http://fvdthemes.com/html/dentalclinic/index.html)
